timestamp_unix_ms,target,deck,solver,run,status,elapsed_ms,diag_mode,pulse_rhs,exec,freq_mhz,abs_res,rel_res,diag_spread,sin_rel_res
1777288227465,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,29,sinusoidal->hallen(residual),Nec2,cpu,14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227504,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,29,sinusoidal->hallen(residual),Nec2,cpu,14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227545,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,34,sinusoidal->hallen(residual),Nec2,cpu,14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227588,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,34,sinusoidal->hallen(residual),Nec2,hybrid,14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227631,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,32,sinusoidal->hallen(residual),Nec2,hybrid,14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227676,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,35,sinusoidal->hallen(residual),Nec2,hybrid,14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227731,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,46,sinusoidal->hallen(residual),Nec2,gpu(cpu-fallback),14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227773,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,32,sinusoidal->hallen(residual),Nec2,gpu(cpu-fallback),14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288227816,unknown,corpus/dipole-ground-51seg.nec,sinusoidal,1,ok,34,sinusoidal->hallen(residual),Nec2,gpu(cpu-fallback),14.200000,3.472274e-5,4.121275e-4,1.000000e0,8.219681e-1
1777288229225,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1402,hallen,Nec2,cpu,14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288230618,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1385,hallen,Nec2,cpu,14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288232048,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1423,hallen,Nec2,cpu,14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288233488,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1428,hallen,Nec2,hybrid,14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288234902,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1404,hallen,Nec2,hybrid,14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288236332,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1419,hallen,Nec2,hybrid,14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288237766,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1422,hallen,Nec2,gpu(cpu-fallback),14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288239202,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1428,hallen,Nec2,gpu(cpu-fallback),14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288240649,unknown,corpus/yagi-5elm-51seg.nec,hallen,1,ok,1437,hallen,Nec2,gpu(cpu-fallback),14.200000,7.362813e-7,8.738992e-6,1.015505e0,0.000000e0
1777288241015,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,359,pulse,Nec2,cpu,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288241394,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,368,pulse,Nec2,cpu,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288241755,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,351,pulse,Nec2,cpu,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
